MailNo,Condition,MailTo,MailCc,MailSubject,MailBody
0,,{{UserMailAddress}},{{AdminMailAddress}},成功,"ご担当者様
処理が完了いたしました。

▼Dequeue
{{DequeuePath}}{{st_Dequeue}}"
800,Queueビジネスエラー,{{UserMailAddress}},{{AdminMailAddress}},ビジネス例外,"ご担当者様
▼Queue
{{QueuePath}}{{st_Queue}}
▼Dequeue
{{DequeuePath}}{{st_Dequeue}}"
801,初期設定ビジネスエラー,{{UserMailAddress}},{{AdminMailAddress}},ビジネス例外_初期設定,"RPA保守担当者各位

本日の処理で以下のエラーが発生しました。
エラー文言をもとに調査をお願いします。

▼エラー発生個所
{{BusinessException.Source}}

▼エラーソース
{{BusinessException.Message}}"
901,初期設定システムエラー,{{UserMailAddress}},{{AdminMailAddress}},システム例外_初期設定,"RPA保守担当者各位

本日の処理で以下のエラーが発生しました。
エラー文言をもとに調査をお願いします。

▼エラー発生個所
{{SystemException.Source}}

▼エラーソース
{{SystemException.Message}}"
900,Queue システムエラー,{{UserMailAddress}},{{AdminMailAddress}},処理失敗,"ご担当者様

▼Dequeue
{{DequeuePath}}{{st_Dequeue}}"
